Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
False	0.09	1	0.05				Male		
False	-0.085	1	0.05				Male		
False	0.08	1	0.05				Male		
True	-0.075	2	0.05				Male		
True	0.06999999	3	0.05				Male		
True	-0.06499999	4	0.05				Male		
False	0.05999999	4	0.05				Male		
False	-0.05499999	4	0.05				Male		
False	0.1	0	0.05				Male		
True	-0.095	1	0.05				Male		
False	0.09	1	0.05				Male		
False	-0.085	1	0.05				Male		
False	0.08	1	0.05				Male		
True	-0.075	2	0.05				Male		
False	0.06999999	2	0.05				Male		
False	-0.06499999	2	0.05				Male		
True	0.05999999	3	0.05				Male		
True	-0.1	1	0.05				Male		
True	0.095	2	0.05				Male		
True	-0.09	3	0.05				Male		
True	0.085	4	0.05				Male		
False	-1	0	0.05				Male		
False	0.95	0	0.05				Male		
False	-0.9	0	0.05				Male		
True	0.85	1	0.05				Male		
False	-0.8	1	0.05				Male		
True	0.7499999	2	0.05				Male		
True	-0.6999999	3	0.05				Male		
True	0.6499999	4	0.05				Male		
False	-0.5999999	4	0.05				Male		
True	0.5499999	5	0.05				Male		
False	-1	0	0.05				Male		
False	0.95	0	0.05				Male		
True	-1	1	0.05	1	16	21	Male	Ryan	Test with veronica
True	0.95	2	0.05	1	16	21	Male	Ryan	Test with veronica
True	-0.9	3	0.05	1	16	21	Male	Ryan	Test with veronica
True	0.85	4	0.05	1	16	21	Male	Ryan	Test with veronica
True	-0.8	5	0.05	1	16	21	Male	Ryan	Test with veronica
True	0.7499999	6	0.05	1	16	21	Male	Ryan	Test with veronica
True	-0.6999999	7	0.05	1	16	21	Male	Ryan	Test with veronica
True	0.6499999	8	0.05	1	16	21	Male	Ryan	Test with veronica
True	-0.5999999	9	0.05	1	16	21	Male	Ryan	Test with veronica
True	0.5499999	10	0.05	1	16	21	Male	Ryan	Test with veronica
True	-0.6	1	0.03	1	16	21	Male	Ryan	Test with veronica
True	0.5700001	2	0.03	1	16	21	Male	Ryan	Test with veronica
True	-0.5400001	3	0.03	1	16	21	Male	Ryan	Test with veronica
True	0.5100001	4	0.03	1	16	21	Male	Ryan	Test with veronica
True	-0.4800001	5	0.03	1	16	21	Male	Ryan	Test with veronica
True	0.4500001	6	0.03	1	16	21	Male	Ryan	Test with veronica
True	-1	1	0.05	1	69	19	Male	Eva	
False	0.95	1	0.05	1	69	19	Male	Eva	
True	-0.9	2	0.05	1	69	19	Male	Eva	
True	0.85	3	0.05	1	69	19	Male	Eva	
True	-0.8	4	0.05	1	69	19	Male	Eva	
False	0.7499999	4	0.05	1	69	19	Male	Eva	
True	-0.6999999	5	0.05	1	69	19	Male	Eva	
True	0.6499999	6	0.05	1	69	19	Male	Eva	
True	-0.5999999	7	0.05	1	69	19	Male	Eva	
True	0.5499999	8	0.05	1	69	19	Male	Eva	
True	-0.6	1	0.03	1	69	19	Male	Eva	
True	0.5700001	2	0.03	1	69	19	Male	Eva	
True	-0.5400001	3	0.03	1	69	19	Male	Eva	
True	0.5100001	4	0.03	1	69	19	Male	Eva	
True	-0.4800001	5	0.03	1	69	19	Male	Eva	
True	0.4500001	6	0.03	1	69	19	Male	Eva	
True	-0.4200001	7	0.03	1	69	19	Male	Eva	
True	0.3900001	8	0.03	1	69	19	Male	Eva	
True	-0.3600001	9	0.03	1	69	19	Male	Eva	
True	0.3300001	10	0.03	1	69	19	Male	Eva	
True	-0.36	1	0.018	1	69	19	Male	Eva	
True	0.342	2	0.018	1	69	19	Male	Eva	
True	-0.324	3	0.018	1	69	19	Male	Eva	
False	0.306	3	0.018	1	69	19	Male	Eva	
True	-0.288	4	0.018	1	69	19	Male	Eva	
False	0.27	4	0.018	1	69	19	Male	Eva	
True	-0.252	5	0.018	1	69	19	Male	Eva	
True	0.234	6	0.018	1	69	19	Male	Eva	
True	-0.216	7	0.018	1	69	19	Male	Eva	
False	0.198	7	0.018	1	69	19	Male	Eva	
True	-0.216	1	0.0108	1	69	19	Male	Eva	
False	0.2052	1	0.0108	1	69	19	Male	Eva	
True	-0.1944	2	0.0108	1	69	19	Male	Eva	
True	0.1836	3	0.0108	1	69	19	Male	Eva	
True	-0.1728	4	0.0108	1	69	19	Male	Eva	
True	0.162	5	0.0108	1	69	19	Male	Eva	
True	-0.1512	6	0.0108	1	69	19	Male	Eva	
True	0.1404	7	0.0108	1	69	19	Male	Eva	
False	-0.1296	7	0.0108	1	69	19	Male	Eva	
True	0.1188	8	0.0108	1	69	19	Male	Eva	
True	-0.1296	1	0.006480001	1	69	19	Male	Eva	
False	0.12312	1	0.006480001	1	69	19	Male	Eva	
True	-0.11664	2	0.006480001	1	69	19	Male	Eva	
True	0.11016	3	0.006480001	1	69	19	Male	Eva	
True	-0.10368	4	0.006480001	1	69	19	Male	Eva	
True	0.09720001	5	0.006480001	1	69	19	Male	Eva	
True	-0.09072001	6	0.006480001	1	69	19	Male	Eva	
False	0.08424001	6	0.006480001	1	69	19	Male	Eva	
True	-0.07776001	7	0.006480001	1	69	19	Male	Eva	
False	0.07128001	7	0.006480001	1	69	19	Male	Eva	
False	-0.07776001	0	0.003888001	1	69	19	Male	Eva	
False	0.07387201	0	0.003888001	1	69	19	Male	Eva	
False	-0.069984	0	0.003888001	1	69	19	Male	Eva	
False	0.066096	0	0.003888001	1	69	19	Male	Eva	
True	-0.062208	1	0.003888001	1	69	19	Male	Eva	
True	0.05832	2	0.003888001	1	69	19	Male	Eva	
False	-0.054432	2	0.003888001	1	69	19	Male	Eva	
True	0.050544	3	0.003888001	1	69	19	Male	Eva	
True	-0.046656	4	0.003888001	1	69	19	Male	Eva	
True	0.042768	5	0.003888001	1	69	19	Male	Eva	
True	-0.07776001	1	0.003888001	1	69	19	Male	Eva	
False	0.07387201	1	0.003888001	1	69	19	Male	Eva	
True	-0.069984	2	0.003888001	1	69	19	Male	Eva	
True	0.066096	3	0.003888001	1	69	19	Male	Eva	
True	-0.062208	4	0.003888001	1	69	19	Male	Eva	
True	0.05832	5	0.003888001	1	69	19	Male	Eva	
True	-0.054432	6	0.003888001	1	69	19	Male	Eva	
False	0.050544	6	0.003888001	1	69	19	Male	Eva	
True	-0.046656	7	0.003888001	1	69	19	Male	Eva	
False	0.042768	7	0.003888001	1	69	19	Male	Eva	
False	-0.04665601	0	0.002332801	1	69	19	Male	Eva	
True	0.04432321	1	0.002332801	1	69	19	Male	Eva	
True	-0.04199041	2	0.002332801	1	69	19	Male	Eva	
False	0.03965761	2	0.002332801	1	69	19	Male	Eva	
False	-0.03732481	2	0.002332801	1	69	19	Male	Eva	
False	0.03499201	2	0.002332801	1	69	19	Male	Eva	
True	-0.03265921	3	0.002332801	1	69	19	Male	Eva	
True	0.03032641	4	0.002332801	1	69	19	Male	Eva	
False	-0.02799361	4	0.002332801	1	69	19	Male	Eva	
True	0.02566081	5	0.002332801	1	69	19	Male	Eva	
True	-0.04665601	1	0.002332801	1	69	19	Male	Eva	
True	0.04432321	2	0.002332801	1	69	19	Male	Eva	
False	-0.04199041	2	0.002332801	1	69	19	Male	Eva	
True	0.03965761	3	0.002332801	1	69	19	Male	Eva	
False	-0.03732481	3	0.002332801	1	69	19	Male	Eva	
False	0.03499201	3	0.002332801	1	69	19	Male	Eva	
True	-0.03265921	4	0.002332801	1	69	19	Male	Eva	
True	0.03032641	5	0.002332801	1	69	19	Male	Eva	
False	-0.02799361	5	0.002332801	1	69	19	Male	Eva	
False	0.02566081	5	0.002332801	1	69	19	Male	Eva	
False	-0.04665601	0	0.002332801	1	69	19	Male	Eva	
False	0.04432321	0	0.002332801	1	69	19	Male	Eva	
